,N,variable,value
0,7980,error,1.4614018873263323e-14
1,8140,error,1.713793295226394e-11
2,20414,error,7.579278045434194e-15
3,72000,error,8.371047853825169e-11
4,96307,error,2.4768475990272863e-14
5,513351,error,1.3226423060529224e-05
6,1585478,error,2.9559931213841185e-12
7,7980,time,0.8832101821899414
8,8140,time,2.2882232666015625
9,20414,time,11.70783543586731
10,72000,time,52.479933738708496
11,96307,time,7.1282219886779785
12,513351,time,2.9732558727264404
13,1585478,time,23.061558961868286
14,7980,memory,6975318.0
15,8140,memory,32338952.0
16,20414,memory,27040296.0
17,72000,memory,460029544.0
18,96307,memory,58372768.0
19,513351,memory,327439024.0
20,1585478,memory,135260440.0
